Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Condutividade;Temperatura;Integridade Ambiental
#06;0.268541762;1.132273754;1.145402402;2.028317073;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.705049624;0.967589295;2.140395677;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.036811109;0.926555501;1.692081259;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;2.086900203;2.020790005;3.149103118;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;0.464035239;1.658324826;0.851491725;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.036811109;0.953911364;1.523963352;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.845885819;4.257131773;1.277390422;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.559497884;1.042817917;0.773036702;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.368572594;3.135541406;0.795452423;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;1.036811109;2.533712429;1.580002655;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.559497884;2.444805875;0.627334516;0.758789524;1.106068236;0.961135113;2.58507803;-0.488592634
#07;0.328217709;0.654960529;0.187947211;0.683373819;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.729247823;1.282181715;-0.908142365;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;1.065449902;-0.290780385;1.165311818;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.185110747;0.529895493;-0.246878599;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.681516501;0.249497901;-0.77364804;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;0.034453336;-0.085611415;-0.03392925;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;-0.872441791;-0.441237629;-0.941765947;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;0.368572594;0.058006863;0.347138005;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;-0.967904436;0.735064463;-1.109883854;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;0.320841271;-0.427559698;0.347138005;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
